code,name,area,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,den1995,den1996,den1997,den1998,den1999,den2000,den2001,den2002,den2003,den2004,den2005,den2006,den2007,den2008,den2009,den2010,den2011,den2012,den2013,den2014,den2015,den2016
79,Hồ Chí Minh,2061.4,4640.4,4747.9,4852.3,4957.3,5073.1,5274.9,5454,5619.4,5809.1,6007.6,6230.9,6483.1,6725.3,6946.1,7196.1,7346.6,7498.4,7660.3,7820,7981.9,8127.9,8297.5,2251.1,2303.2,2353.9,2404.8,2461.0,2558.9,2645.8,2726.0,2818.0,2914.3,3022.7,3145.0,3262.5,3369.6,3490.9,3563.9,3637.5,3716.1,3793.5,3872.1,3942.9,4025.2
80,Long An,4494.8,1250.8,1265.1,1279.9,1294.8,1311.1,1327.1,1343.1,1356.5,1369,1382.2,1393.4,1405.2,1417.9,1428.2,1436.3,1442.8,1449.9,1460.3,1469.9,1477.3,1484,1490.6,278.3,281.5,284.8,288.1,291.7,295.3,298.8,301.8,304.6,307.5,310.0,312.6,315.5,317.7,319.5,321.0,322.6,324.9,327.0,328.7,330.2,331.6
82,Tiền Giang,2510.5,1581.5,1587.4,1593.6,1600,1608.4,1613.5,1620.1,1626.7,1634,1642.7,1650.1,1655.3,1661.6,1668,1672.8,1678,1682.6,1692.5,1703.4,1716.1,1728.1,1740.2,630.0,632.3,634.8,637.3,640.7,642.7,645.3,648.0,650.9,654.3,657.3,659.4,661.9,664.4,666.3,668.4,670.2,674.2,678.5,683.6,688.3,693.2
83,Bến Tre,2394.6,1281.8,1286.8,1291.4,1294.7,1299.1,1297.9,1294.9,1289,1282.8,1277.6,1273.2,1269.3,1264.8,1259.6,1256.1,1256.6,1257.4,1258.9,1260.6,1262.2,1263.7,1265.2,535.3,537.4,539.3,540.7,542.5,542.0,540.8,538.3,535.7,533.5,531.7,530.1,528.2,526.0,524.6,524.8,525.1,525.7,526.4,527.1,527.7,528.4
84,Trà Vinh,2358.2,934.9,942.6,950.8,959.2,969.1,972,975.3,979.2,982.5,986.3,990.2,993.7,997.2,1000.8,1003.2,1008,1013.1,1018.4,1023.9,1029.3,1034.6,1040.5,396.4,399.7,403.2,406.8,410.9,412.2,413.6,415.2,416.6,418.2,419.9,421.4,422.9,424.4,425.4,427.4,429.6,431.9,434.2,436.5,438.7,441.2
86,Vĩnh Long,1525.6,990.4,995.6,1001,1006.4,1012.3,1013.4,1014.6,1015.9,1017.4,1018.8,1020.2,1021.6,1022.8,1024,1025.1,1026.5,1029.1,1034.5,1037.8,1041.5,1045.1,1048.6,649.2,652.6,656.1,659.7,663.5,664.3,665.0,665.9,666.9,667.8,668.7,669.6,670.4,671.2,671.9,672.9,674.6,678.1,680.3,682.7,685.0,687.3
87,Đồng Tháp,3384,1489.3,1510.4,1532.5,1556.5,1568.2,1580.6,1592.2,1603.5,1614.3,1626.6,1639.5,1646.8,1654.5,1662.5,1666.6,1669.6,1671.7,1675,1678.4,1681.3,1684.3,1687.3,440.1,446.3,452.9,460.0,463.4,467.1,470.5,473.8,477.0,480.7,484.5,486.6,488.9,491.3,492.5,493.4,494.0,495.0,496.0,496.8,497.7,498.6
89,An Giang,3536.7,1970.1,1990.7,2011.1,2032.5,2055.4,2061.7,2073.8,2085.6,2096.3,2107.4,2118.1,2125.8,2134.3,2142.6,2147.6,2148.3,2149,2151.2,2153.3,2155.8,2158.3,2159.9,557.0,562.9,568.6,574.7,581.2,582.9,586.4,589.7,592.7,595.9,598.9,601.1,603.5,605.8,607.2,607.4,607.6,608.3,608.8,609.6,610.3,610.7
91,Kiên Giang,6348.7,1392,1422.3,1452.9,1480.3,1504.2,1522.7,1540.9,1559.6,1578.9,1599.1,1619.8,1637.8,1654.9,1672.3,1688.5,1698.7,1710.9,1723.8,1734.3,1745.5,1761,1776.7,219.3,224.0,228.9,233.2,236.9,239.8,242.7,245.7,248.7,251.9,255.1,258.0,260.7,263.4,266.0,267.6,269.5,271.5,273.2,274.9,277.4,279.9
92,Cần Thơ,1439.2,1048.8,1060.3,1071.8,1082.9,1095.2,1103.6,1112.7,1121.2,1129.4,1138.1,1149,1160.5,1172,1180.9,1188.6,1197.9,1208,1218.3,1228.5,1238.3,1248,1257.9,728.7,736.7,744.8,752.5,761.0,766.8,773.1,779.1,784.8,790.8,798.4,806.4,814.3,820.5,825.9,832.3,839.4,846.5,853.6,860.4,867.1,874.0
93,Hậu Giang,1621.8,690.9,698.5,706.2,713.5,721.6,727.1,733.0,738.7,744.1,749.8,751.5,752.8,754.7,756.3,758,759.8,761.7,763.8,766.2,768.4,770.5,772.5,426.0,430.7,435.4,439.9,444.9,448.3,452.0,455.5,458.8,462.3,463.4,464.2,465.3,466.3,467.4,468.5,469.7,471.0,472.4,473.8,475.1,476.3
94,Sóc Trăng,3311.9,1150.1,1155.9,1162.3,1168.8,1177.9,1193.4,1210.3,1224.6,1237.4,1249.8,1258.6,1265.6,1276.3,1285.1,1293.2,1295.6,1298.4,1301.5,1304.7,1307.7,1310.7,1312.5,347.3,349.0,350.9,352.9,355.7,360.3,365.4,369.8,373.6,377.4,380.0,382.1,385.4,388.0,390.5,391.2,392.0,393.0,393.9,394.8,395.8,396.3
95,Bạc Liêu,2669.1,709.5,716.3,724.2,732.1,738.2,749.7,764.2,777.4,789.1,801.3,812.8,823.8,835.8,847.5,856.8,861,864.9,869.3,873.6,877.9,882,886.2,265.8,268.4,271.3,274.3,276.6,280.9,286.3,291.3,295.6,300.2,304.5,308.6,313.1,317.5,321.0,322.6,324.0,325.7,327.3,328.9,330.4,332.0
96,Cà Mau,5221.2,1041.8,1061.6,1081.1,1101.8,1123.5,1133.9,1145.2,1155.3,1164.5,1174.4,1182.9,1188.7,1195.2,1201.7,1207.1,1208.5,1210,1212.1,1214.2,1216.4,1218.9,1222.6,199.5,203.3,207.1,211.0,215.2,217.2,219.3,221.3,223.0,224.9,226.6,227.7,228.9,230.2,231.2,231.5,231.7,232.1,232.6,233.0,233.5,234.2
